"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
6,3.4,4.5,1.6,"versicolor"
5.5,2.6,4.4,1.2,"versicolor"
4.9,3.1,NA,0.2,"setosa"
5.2,2.7,3.9,1.4,"versicolor"
4.8,3.4,1.6,0.2,"setosa"
6.3,3.3,4.7,1.6,"versicolor"
7.7,3.8,6.7,2.2,"virginica"
5.1,3.8,1.5,0.3,"setosa"
NA,2.9,4.5,1.5,"versicolor"
6.4,2.8,5.6,NA,"virginica"
6.4,2.8,5.6,2.1,"virginica"
5,2.3,3.3,NA,"versicolor"
7.4,2.8,6.1,1.9,"virginica"
4.3,3,1.1,0.1,"setosa"
5,3.3,1.4,0.2,"setosa"
7.2,3,5.8,1.6,"virginica"
6.3,2.5,4.9,1.5,"versicolor"
5.1,2.5,NA,1.1,"versicolor"
NA,3.2,5.7,2.3,"virginica"
5.1,3.5,NA,NA,"setosa"
5,3.5,1.3,0.3,"setosa"
6.1,3,4.6,1.4,"versicolor"
6.9,3.1,5.1,2.3,"virginica"
5.1,3.5,1.4,0.3,"setosa"
6.5,NA,4.6,1.5,"versicolor"
5.6,2.8,4.9,2,"virginica"
4.9,2.5,4.5,NA,"virginica"
5.5,3.5,1.3,0.2,"setosa"
7.6,3,6.6,2.1,"virginica"
5.1,3.8,0,0.2,"setosa"
7.9,3.8,6.4,2,"virginica"
6.1,2.6,5.6,1.4,"virginica"
5.4,3.4,1.7,0.2,"setosa"
6.1,2.9,4.7,1.4,"versicolor"
5.4,3.7,1.5,0.2,"setosa"
6.7,3,5.2,2.3,"virginica"
5.1,3.8,1.9,Inf,"setosa"
6.4,2.9,4.3,1.3,"versicolor"
5.7,2.9,4.2,1.3,"versicolor"
4.4,2.9,1.4,0.2,"setosa"
6.3,2.5,5,1.9,"virginica"
7.2,3.2,6,1.8,"virginica"
4.9,NA,3.3,1,"versicolor"
5.2,3.4,1.4,0.2,"setosa"
5.8,2.7,5.1,1.9,"virginica"
6,2.2,5,1.5,"virginica"
6.9,3.1,NA,1.5,"versicolor"
5.5,2.3,4,1.3,"versicolor"
6.7,NA,5,1.7,"versicolor"
5.7,3,4.2,1.2,"versicolor"
6.3,2.8,5.1,1.5,"virginica"
5.4,3.4,1.5,0.4,"setosa"
7.2,3.6,NA,2.5,"virginica"
6.3,2.7,4.9,NA,"virginica"
5.6,3,4.1,1.3,"versicolor"
5.1,3.7,NA,0.4,"setosa"
5.5,NA,0.925,1,"versicolor"
6.5,3,5.2,2,"virginica"
4.8,3,1.4,NA,"setosa"
6.1,2.8,NA,1.3,"versicolor"
4.6,3.4,1.4,0.3,"setosa"
6.3,3.4,NA,2.4,"virginica"
5,3.4,1.5,0.2,"setosa"
5.1,3.4,1.5,0.2,"setosa"
NA,3.3,5.7,2.1,"virginica"
6.7,3.1,4.7,1.5,"versicolor"
7.7,2.6,6.9,2.3,"virginica"
6.3,NA,4.4,1.3,"versicolor"
4.6,3.1,1.5,0.2,"setosa"
NA,3,5.5,2.1,"virginica"
NA,2.8,4.7,1.2,"versicolor"
5.9,3,NA,1.5,"versicolor"
4.5,2.3,1.3,0.3,"setosa"
6.4,3.2,5.3,2.3,"virginica"
5.2,4.1,1.5,0.1,"setosa"
49,30,14,2,"setosa"
5.6,2.9,3.6,1.3,"versicolor"
6.8,3.2,5.9,2.3,"virginica"
5.8,NA,5.1,2.4,"virginica"
4.6,3.6,NA,0.2,"setosa"
5.7,0,1.7,0.3,"setosa"
5.6,2.5,3.9,1.1,"versicolor"
6.7,3.1,4.4,1.4,"versicolor"
4.8,NA,1.9,0.2,"setosa"
5.1,3.3,1.7,0.5,"setosa"
4.4,3,1.3,NA,"setosa"
7.7,3,NA,2.3,"virginica"
4.7,3.2,1.6,0.2,"setosa"
NA,3,4.9,1.8,"virginica"
6.9,3.1,5.4,2.1,"virginica"
6,2.2,4,1,"versicolor"
5,NA,1.4,0.2,"setosa"
5.5,NA,3.8,1.1,"versicolor"
6.6,3,4.4,1.4,"versicolor"
6.3,2.9,5.6,1.8,"virginica"
5.7,2.5,5,2,"virginica"
6.7,3.1,5.6,2.4,"virginica"
5.6,3,4.5,1.5,"versicolor"
5.2,3.5,1.5,0.2,"setosa"
6.4,3.1,NA,1.8,"virginica"
5.8,2.6,4,NA,"versicolor"
